
##############
# h_nominal # 
##############

#Time 	total case
53	1579.83297391
54	1492.9611484
55	1410.71427391
56	1332.92434624
57	1259.41937861
58	1189.98426169
59	1124.38124104
60	1062.38092224
61	1003.78005339
62	948.395869677
63	896.057046208
64	846.598824535
65	799.862692831
66	755.698180427
67	713.963637068
68	674.525808917
69	637.258934547
70	602.043983041
71	568.768250034
72	537.325123004
73	507.613843165
74	479.539209414
75	453.011252444
76	427.944926458
77	404.259834581
78	381.879980953
79	360.733537524
80	340.752619288
81	321.873068318
82	304.034248838
83	287.178854216
84	271.252725267
85	256.204678603
86	241.986344085
87	228.55201085
88	215.858481628
89	203.864934994
90	192.532795169
91	181.825608935
92	171.708929236
93	162.150205109
94	153.118677615
95	144.585281441
96	136.522551893
97	128.90453695
98	121.706714155
99	114.905912027
100	108.480235782
101	102.40899713
102	96.6726479043
103	91.252717334
104	86.1317527629
105	81.2932636052
106	76.7216683934
107	72.4022447198
108	68.3210819309
109	64.4650364227
110	60.8216893886
111	57.3793068941
112	54.1268021369
113	51.0536997942
114	48.1501023239
115	45.4066581154
116	42.8145314064
117	40.3653738428
118	38.051297605
119	35.864850024
END

##############
# h_k_12.0 # 
##############

#Time 	total case
-1	3.9376867652e-10
1	184.445
2	245.948734796
3	206.2604298
4	185.649359434
5	183.189019017
6	226.209062683
7	440.113464414
8	293.651612699
9	351.660834495
10	426.755339675
11	526.285633501
12	245.128250571
13	466.817427676
14	860.562907708
15	864.24364172
16	775.584665196
17	835.9003137
18	1239.23829526
19	1097.84747816
20	987.08636079
21	1748.17474908
22	1895.81263568
23	2822.50716491
24	3062.38558788
25	2898.27075609
26	2000.17852847
27	2710.4563816
28	3508.54474849
29	4377.91969688
30	3355.22948277
31	3138.44726454
32	2077.87890706
33	1358.10590566
34	2003.83484919
35	2115.86850404
36	2141.38364092
37	1748.27348656
38	1466.46654783
39	1206.77739264
40	1038.74695407
41	982.477556254
42	915.496550511
43	846.275195098
44	780.67377572
45	721.520786923
46	668.937631538
47	620.610783849
48	575.480625336
49	533.246665332
50	493.932513079
51	457.568254613
52	423.961822478
53	392.860546421
54	364.034171935
55	337.300645627
56	312.517084745
57	289.551207851
58	268.273563299
59	248.55906207
60	230.290610164
61	213.361170421
62	197.672744197
63	183.13483074
64	169.663337433
65	157.18004671
66	145.612381742
67	134.893123635
68	124.960041139
69	115.755492486
70	107.226056936
71	99.3222179772
72	91.9980833724
73	85.2111265239
74	78.9219422956
